agecell,age,over21,all,mva,suicide,homicide,internal,alcohol,ext_oth,age2,over_age,over_age2
21.287672,0.28767204,1,102.8269,35.106873,14.4557705,17.378096,21.508316,1.4416807,14.377838,0.0827552,0.2876720428466797,0.0827552005648613
21.369864,0.3698635,1,100.97943,32.358696,13.583627,17.018566,22.366144,1.3271359,15.652401,0.13679902,0.36986351013183594,0.13679902255535126
21.452055,0.45205498,1,101.236946,32.45526,13.803261,17.478916,21.232779,1.7205198,16.266735,0.2043537,0.4520549774169922,0.2043537050485611
21.534246,0.53424644,1,99.4976,31.533688,12.848509,18.410973,21.27055,1.1359962,15.433872,0.28541926,0.5342464447021484,0.2854192554950714
21.616438,0.6164379,1,95.20131,30.098682,11.811869,16.599403,22.093296,1.0202943,14.598057,0.3799957,0.6164379119873047,0.3799957036972046
21.69863,0.6986294,1,97.25825,30.388288,13.3268175,18.044275,21.267872,1.6117979,14.231001,0.488083,0.6986293792724609,0.48808300495147705
21.780823,0.78082275,1,98.92873,31.742258,14.76842,17.17075,19.454931,1.7328279,15.792364,0.60968417,0.78082275390625,0.60968416929245
21.863014,0.8630142,1,102.26221,34.481934,13.926913,17.16206,20.515566,1.3019494,16.175732,0.74479353,0.8630142211914062,0.7447935342788696
21.945206,0.9452057,1,96.833374,31.540012,12.370957,16.718578,22.093819,1.1461909,14.110008,0.8934138,0.9452056884765625,0.893413782119751
22.027397,1.0273972,1,99.50197,31.834293,12.274417,17.223778,21.024887,1.3462263,17.144585,1.055545,1.0273971557617188,1.0555449724197388
22.109589,1.1095886,1,96.07229,29.55155,11.622288,17.016933,23.40324,1.6263269,14.478273,1.2311869,1.109588623046875,1.231186866760254
22.19178,1.1917801,1,95.96821,30.836988,12.597069,16.570908,20.624224,1.8279659,15.339014,1.4203398,1.1917800903320312,1.420339822769165
22.273973,1.2739735,1,98.61067,29.857895,12.420884,17.198147,23.129915,1.6322316,16.003834,1.6230084,1.2739734649658203,1.623008370399475
22.356165,1.3561649,1,97.95247,28.75559,13.879258,17.109776,23.092215,1.5554341,15.115629,1.8391833,1.3561649322509766,1.8391833305358887
22.438356,1.4383564,1,97.41173,27.64927,13.86459,16.701437,24.37291,1.6381792,14.823521,2.068869,1.4383563995361328,2.068869113922119
22.520548,1.5205479,1,97.509476,28.260136,12.809127,17.532492,23.49674,1.5611123,15.410976,2.3120658,1.520547866821289,2.312065839767456
22.60274,1.6027393,1,95.56239,29.234152,12.15082,16.040686,22.817877,1.2431532,15.318857,2.5687733,1.6027393341064453,2.5687732696533203
22.68493,1.6849308,1,97.02306,29.528757,12.856058,16.793226,21.815123,0.883854,16.029898,2.8389919,1.6849308013916016,2.83899188041687
22.767124,1.7671242,1,99.37457,27.44976,14.610356,17.226536,24.350594,1.2074674,15.737328,3.1227279,1.7671241760253906,3.122727870941162
22.849316,1.8493156,1,94.31531,26.855064,12.338814,16.69369,22.94374,1.3709793,15.484001,3.4199684,1.8493156433105469,3.419968366622925
22.931507,1.9315071,1,97.397644,27.389301,11.917173,17.774767,24.23832,1.7774768,16.078083,3.7307198,1.9315071105957031,3.730719804763794
