earnings,schooling,ability,occupation
8.3383,11,-0.9348,1
8.5329,13,1.2567,1
8.3788,11,-0.6415,1
8.6572,14,-0.2645,2
8.1621,8,0.3876,1
7.8263,11,-0.3807,1
8.4616,13,0.1732,1
8.2185,10,-0.1929,1
9.0014,13,-0.2188,3
8.6392,12,-1.2728,2
8.1865,9,-0.2599,1
9.5841,17,2.4211,4
8.6648,11,-0.429,1
8.2444,13,-0.5042,1
8.663,13,0.1564,1
8.298,11,0.0621,2
7.6706,9,-0.9825,1
7.6699,12,-0.6605,1
8.0418,11,-0.8008,2
8.0377,9,-0.0664,1
7.8003,7,-1.5245,1
9.2291,14,0.3394,2
8.2239,10,-0.422,1
8.4479,11,0.0766,1
8.204,11,-0.1553,1
8.4029,11,0.0353,2
7.8302,9,-1.3481,1
8.4248,15,0.8182,2
8.6965,11,0.257,1
8.3529,11,-1.0578,2
8.4019,11,-0.8615,1
7.4059,8,-2.3528,1
7.9276,9,-0.2944,1
7.6579,11,-0.2775,1
8.4492,12,0.3949,1
6.9793,6,-3.4207,1
7.7482,6,-2.9314,1
8.6992,14,0.9309,2
8.8066,13,0.8776,2
8.274,11,0.1458,2
7.6048,8,-1.5413,1
8.8148,13,-0.1902,1
9.1833,17,1.8381,3
8.1558,12,0.1673,2
8.2432,15,-0.3661,3
7.9223,11,-0.5943,2
7.857,10,-1.6511,1
8.2435,12,0.2281,1
9.0871,16,2.4247,2
8.0876,7,-0.7199,1
8.5615,12,-0.3373,2
8.9353,14,0.5616,3
7.7382,8,-1.5191,1
8.5091,14,0.6268,2
8.3138,10,0.0059,1
8.3213,11,-1.2834,1
8.0017,10,0.0376,1
9.0983,15,1.7872,3
8.4259,14,-0.5055,2
7.7822,9,-1.5076,1
8.7251,12,0.758,1
8.2884,11,-0.9478,2
8.6655,15,1.0647,3
8.0425,12,-0.3261,1
8.9009,16,1.289,2
8.1867,12,-0.1579,2
8.4423,10,-0.761,1
8.3073,12,0.2724,1
7.7973,9,-0.2345,1
8.3459,10,-1.1715,2
8.0507,8,-0.1449,1
7.7456,10,-1.2424,1
7.677,9,-1.6164,1
8.6157,14,0.1455,2
8.8041,15,0.0418,2
9.0325,15,1.5432,3
8.2071,10,-1.0808,1
8.1568,10,-0.005,1
7.916,8,-1.0083,1
8.7776,14,0.8532,3
9.2539,17,0.7887,3
8.6062,13,0.3216,2
9.2055,17,1.959,2
8.7429,14,1.3811,2
8.7062,14,-0.5111,3
8.5218,13,0.6409,3
8.1126,11,-0.3271,1
8.4289,13,0.0771,1
8.2934,12,-1.0614,1
9.0252,12,-0.04,2
9.209,15,1.6837,3
8.0932,9,-0.7375,1
8.2896,7,-1.6311,1
8.4137,11,-0.4046,1
8.7858,14,-0.0813,2
8.8084,13,0.0951,2
8.8925,11,-0.6717,1
8.523,12,-0.5152,2
8.7556,16,1.7495,3
8.4299,14,0.6064,2
8.2385,13,0.0286,1
8.7511,13,-0.3936,2
8.0399,8,-1.8481,1
8.9434,15,1.9892,2
8.0839,11,-0.6574,1
7.925,12,-0.463,1
8.8831,16,1.7445,3
8.2416,11,0.7763,2
8.6733,14,0.5065,2
7.8693,8,-1.5467,1
8.4467,15,0.3543,3
8.5394,10,-0.7136,2
9.0521,17,2.1715,3
8.645,16,0.1281,3
8.6503,12,0.8348,1
8.7114,12,0.0531,2
9.0272,14,1.3628,3
8.4349,14,0.2554,2
7.9215,11,-1.2677,1
8.2486,10,-2.2717,1
8.4527,14,0.1484,2
8.2624,13,-0.8617,1
9.6048,17,2.0449,4
8.8044,15,1.0858,3
8.6651,13,0.1703,2
8.6439,14,1.1196,2
8.4993,12,-0.6567,2
7.7191,9,-2.7923,1
8.354,12,-0.6566,2
7.7826,10,0.3246,1
8.3746,9,-1.8904,1
8.4604,10,-0.1126,1
8.1372,12,0.6922,2
7.8916,9,-1.2052,2
8.4608,13,0.148,1
7.8099,13,0.6942,1
7.625,8,-0.2054,1
9.0876,15,2.1474,3
8.2241,10,-0.9482,1
8.4073,14,0.2878,2
8.5959,13,-0.1449,2
8.9014,14,0.3499,2
8.5627,13,-0.3749,2
8.6497,17,0.8453,4
9.0629,15,0.7471,2
8.0341,9,-1.4387,1
8.2297,13,-0.8734,2
7.9335,9,-1.0736,1
8.4506,10,0.2198,1
8.665,14,0.3461,2
8.6337,15,1.0827,2
8.8775,14,1.0297,3
8.1651,9,0.5857,1
8.6338,13,0.2997,2
8.337,10,0.4305,2
8.3392,13,1.2972,3
8.0353,9,-1.3048,1
8.6544,13,-0.5687,2
8.3558,9,-1.4213,1
9.7951,20,3.0699,5
8.4892,13,0.4231,2
8.1338,9,-0.5498,1
7.967,7,-1.8381,1
7.9481,11,-1.1923,1
8.0365,12,-0.464,1
8.6979,15,1.4146,2
8.7528,14,1.5142,2
8.4991,13,1.2712,3
8.4738,11,-0.1475,2
8.6736,10,-0.999,1
8.9615,19,1.7887,4
8.8456,15,0.6569,3
8.3046,8,-0.0055,1
7.9776,11,-0.3288,1
8.7311,16,0.9094,3
8.2041,11,-0.7983,1
8.2414,13,-0.704,2
8.2752,7,-0.3873,1
8.3467,14,1.5144,2
8.5242,14,0.041,3
8.5628,14,0.76,2
8.7747,17,1.6692,3
8.4147,12,-0.5467,2
7.6768,12,-0.9016,1
7.987,8,-1.5816,1
7.8033,7,-1.4911,1
8.8691,14,1.0234,2
8.8046,13,0.4829,2
9.1867,14,1.6128,2
8.5888,11,-0.6025,2
7.8914,8,-1.5336,1
8.432,11,-1.0056,1
8.9947,13,0.8445,2
8.5523,12,-0.6875,2
8.1856,9,-0.7927,1
8.2372,10,-1.0926,1
8.2995,13,0.3522,2
8.7038,12,0.7897,1
8.4716,11,-0.0196,1
8.2483,9,-1.3374,1
8.6733,12,-1.1207,2
8.3639,15,1.2454,2
8.8531,11,0.3057,2
7.7848,12,-0.4249,1
8.4402,10,-1.2903,1
8.2525,12,0.1697,2
8.8906,17,1.6433,4
8.1499,10,-0.7663,1
8.1257,11,-0.3522,1
8.3839,13,0.0048,2
8.3368,12,-1.2816,1
8.8456,14,1.2188,3
8.9417,15,1.132,3
7.6417,6,-2.3286,1
8.0501,15,0.493,2
7.8691,8,-2.3194,1
8.4704,13,0.2545,2
8.4378,12,1.1866,2
8.1638,11,0.4468,2
8.0746,10,-0.2928,1
8.9277,12,1.3505,2
8.4112,9,-0.2225,1
8.139,8,-1.3216,1
7.6986,10,0.0128,1
8.4002,11,-0.7148,3
8.6003,13,-0.4308,2
9.7052,19,3.5761,4
8.3482,12,-0.0798,2
8.2048,8,-1.7601,2
9.1514,15,0.2132,4
8.2648,10,-1.1716,1
8.7761,16,2.077,3
7.9789,9,-1.7353,1
8.4238,15,0.4179,2
8.4548,14,0.6514,2
8.579,15,0.5429,4
8.0241,12,0.0586,1
7.9304,8,-1.6473,1
8.1243,8,0.1789,1
8.4632,15,0.1201,3
8.8561,14,1.7312,2
8.9116,15,1.3414,2
8.4247,13,0.4399,1
9.0616,14,1.1433,2
8.141,8,-1.622,1
8.5301,12,-0.4832,2
9.0138,17,1.4395,3
8.7289,16,1.4814,2
8.7189,14,0.9631,3
8.2064,10,-0.5152,1
7.755,10,-0.075,1
8.7254,10,-0.5327,2
8.0117,8,-2.1427,1
8.4141,13,0.194,2
8.1756,10,0.2075,1
8.2614,12,0.2594,1
8.7928,12,-0.3304,2
8.2675,13,-0.4504,2
8.2399,11,-0.8484,2
7.7724,7,-0.6986,1
7.8961,9,-0.6572,1
8.3884,8,-1.2446,1
8.5741,14,0.8672,3
9.3221,18,1.437,3
8.6475,15,0.9697,3
7.9197,13,0.025,1
8.0043,8,-1.388,1
8.8613,14,-0.5189,3
8.2793,12,-0.0697,1
8.6607,14,-0.3741,3
8.2955,12,-0.2345,2
8.3009,11,-0.5188,1
8.3574,13,0.3554,2
8.6671,12,0.681,1
8.9838,12,-0.6161,2
8.2843,17,1.9899,3
8.6209,15,0.9633,2
8.8758,12,0.6448,2
8.6225,15,0.727,3
8.1163,10,-1.008,2
8.5093,14,0.5035,2
8.4123,9,-0.1563,1
8.2272,9,-0.2792,1
8.5239,15,0.48,3
8.8099,12,-0.0269,2
9.1065,16,1.5536,3
8.8877,15,1.6498,3
9.5186,17,1.4929,4
8.2037,12,-0.386,1
9.1735,16,1.3235,3
7.9685,11,0.0839,1
8.4545,12,0.8057,1
8.5467,9,-0.3601,1
9.4922,16,1.7973,2
8.6757,12,1.009,2
7.479,10,-0.5032,1
9.4458,15,1.2574,4
8.5342,13,-0.4591,2
7.7802,10,-0.4548,1
8.9304,16,0.8047,3
8.4045,11,-1.0397,1
8.2969,12,-0.64,1
8.4526,10,0.0352,2
7.9227,12,-0.0239,1
9.2919,17,1.8073,3
8.1517,12,-0.017,2
8.7941,13,1.1679,2
8.2736,10,-0.981,1
9.1969,17,-0.2746,3
8.3991,15,1.2326,3
7.9353,9,-1.4477,1
8.1504,12,0.5208,2
8.0016,9,-0.7401,1
7.8202,9,-1.3315,1
8.2014,8,-1.4559,1
8.0762,12,0.2005,1
7.8127,10,-1.6775,1
8.0105,10,-0.418,1
9.1333,15,1.4373,1
8.5283,18,0.9841,4
8.5756,15,0.2689,2
7.9114,8,-0.1989,1
8.1166,14,-0.0539,2
8.5588,13,0.9617,2
8.4129,9,-0.8805,2
9.2025,16,2.1174,4
8.5485,10,0.4299,1
8.9,12,-0.4639,3
8.2742,11,-0.9478,1
8.9611,14,0.9287,2
8.7543,14,0.124,2
8.5325,12,-0.4658,1
7.6714,6,-1.6563,1
8.4038,13,1.6616,3
8.9864,15,1.2847,3
8.743,14,0.3955,2
8.0452,11,-1.2293,1
8.412,15,0.5583,2
8.7713,17,0.7096,3
7.5621,8,-0.4121,1
8.6092,12,0.5873,3
8.7962,14,0.4136,3
8.8562,12,0.8424,1
8.5009,14,0.7703,2
7.8944,8,-1.574,1
8.4115,14,-0.6671,3
7.9708,10,-1.2011,1
8.6415,14,0.8296,2
8.155,11,-1.1051,2
8.405,11,-0.83,2
8.5567,13,-0.2322,2
8.1201,9,-0.9213,1
8.3076,10,-0.6047,1
8.7708,15,1.656,2
7.7933,12,-0.8895,1
8.74,14,0.3121,2
8.0864,11,-0.3175,1
8.6568,15,1.7446,1
8.7364,14,1.5145,2
8.9822,16,1.1026,3
8.319,11,-0.9619,2
8.4923,12,-0.421,1
7.7419,12,-0.4823,2
8.1663,8,-1.7152,1
9.1402,14,0.7934,2
8.3951,12,0.1651,1
8.3468,10,0.7621,2
8.8075,12,0.5101,1
8.3513,10,-0.4741,2
8.369,9,-1.3766,1
8.3596,12,-0.4726,1
8.5367,15,-0.0643,3
8.1248,10,-1.119,2
8.6897,13,-1.0952,2
9.2578,15,1.9499,2
9.3293,16,1.4877,3
8.5484,14,0.0711,1
9.0603,15,2.3906,2
8.2361,12,1.0163,2
8.7024,14,-0.3453,2
8.0254,7,-0.2463,1
8.3034,10,0.0681,1
8.0758,10,-0.0569,1
8.4778,14,1.9085,3
8.4159,12,-0.2546,2
8.3218,13,0.0625,3
8.2814,10,-1.0285,1
8.8857,14,0.629,2
8.3979,10,0.1996,2
8.4502,12,0.9909,2
8.0902,6,-1.7058,1
8.0145,10,-1.1171,1
8.1299,11,-0.3907,1
7.9253,9,-1.3825,1
7.915,7,-2.1875,1
8.0489,9,-1.2419,1
8.9069,16,1.0819,3
8.5555,14,0.0406,3
9.1678,15,1.6828,2
7.9569,11,-1.3063,1
9.0912,13,0.8095,3
8.2212,14,0.1272,2
8.062,10,-0.386,2
8.2813,11,-1.4938,1
8.571,12,-0.508,2
9.0291,15,0.2999,2
8.9682,11,0.5473,2
8.8215,14,1.3736,3
8.5097,11,-0.8747,1
8.8894,14,0.6356,3
8.465,14,0.6859,2
8.2175,13,0.2361,1
7.9433,10,-0.83,1
8.4596,11,0.4317,1
8.1948,13,0.2345,1
8.484,10,-0.7588,1
8.5991,10,-1.2385,2
8.4054,13,0.3979,1
7.7375,12,-0.3395,1
8.2742,14,0.9701,2
8.4593,14,-0.2531,2
7.8493,9,-0.9348,1
8.6709,11,-0.6943,1
8.8258,15,1.2547,4
8.3739,12,-0.8349,2
8.083,8,-1.8914,1
8.5082,12,-0.6003,2
8.2594,12,-0.049,2
8.3993,13,0.4027,2
8.7998,16,0.5824,4
8.1977,9,-0.8106,1
8.8388,12,0.1058,2
8.9391,16,1.2365,2
8.5684,14,0.5248,2
8.1222,9,-1.2808,1
7.9417,8,-2.1554,1
8.0846,11,-0.7173,1
8.3149,8,-1.0302,1
9.0409,17,1.1932,4
8.1786,13,0.8224,2
8.436,11,-0.2076,1
7.657,6,-1.9316,1
8.5339,11,-0.712,2
8.3665,11,-0.2494,2
8.8728,13,0.2277,2
8.9585,14,1.3014,2
8.3966,12,-0.5778,1
8.5629,12,-0.3425,2
8.4051,14,-0.4797,2
8.8266,18,1.3042,3
8.3577,11,0.2323,1
8.2084,12,-0.181,2
7.9769,11,-0.8458,1
8.5253,12,-0.4865,2
8.6574,16,1.0117,3
8.622,13,1.0617,2
8.2691,10,0.3613,1
8.8536,13,0.8187,2
7.2833,7,-2.1572,1
8.5081,14,0.6909,2
8.5764,12,-0.0462,2
7.5444,9,-0.9323,1
8.3634,10,-0.4134,1
9.1742,14,1.0038,4
8.8305,15,0.1824,2
8.8567,13,0.2921,2
8.9112,16,1.2443,3
8.2212,12,-0.4724,1
8.3026,12,-0.4619,1
7.7146,9,-1.2323,1
7.3661,6,-3.6729,1
8.4248,12,1.5915,1
8.5797,13,0.1326,2
7.9822,11,0.1991,2
8.233,13,0.2976,2
7.9646,9,0.0495,1
8.4102,12,0.7478,1
8.5951,14,0.6276,2
8.2555,11,0.0458,2
8.5581,11,0.0641,2
8.0409,11,-0.1368,1
8.2834,10,-0.4133,1
8.086,11,-0.4164,1
8.3121,11,-0.7439,1
8.6762,12,-0.2823,1
9.0773,16,1.6819,2
8.2919,12,0.3272,1
8.0094,12,-0.3431,1
8.5607,13,0.8595,2
8.7809,13,0.5901,3
8.5925,13,0.1018,3
8.616,12,0.2443,2
8.8999,16,2.077,3
9.0119,15,2.5555,2
8.3859,14,0.2034,1
8.2999,12,-0.105,2
8.7512,15,0.6796,3
8.3833,12,-0.8783,1
7.6318,11,0.349,1
8.7467,16,1.5312,3
8.9568,15,1.7095,3
8.3552,13,-0.3464,2
8.8627,16,1.1969,3
9.0213,14,0.1021,3
8.1933,10,-0.1285,1
8.2892,9,-1.9271,1
8.3614,10,-0.2725,1
8.7321,13,0.2568,2
8.4889,11,-0.4623,2
8.4503,14,-0.0323,3
8.8729,16,1.5405,2
9.2552,16,1.775,2
8.1296,9,-0.8796,1
8.1667,10,-0.7977,1
8.2591,11,-0.9076,1
8.4209,11,-0.2947,2
7.4556,7,-0.9361,1
8.3647,10,-1.6637,1
7.5867,6,-2.5581,1
7.8817,8,-1.0501,1
8.7345,15,0.6632,2
8.5523,15,1.1074,2
9.1571,18,2.3433,4
8.2841,9,0.1366,1
8.2944,11,-0.12,1
8.4688,14,0.4849,2
8.0763,12,-1.324,2
8.7956,15,0.52,3
8.3579,13,0.9834,2
7.7031,10,0.0243,1
8.0631,14,-0.0769,2
8.737,12,0.7635,2
8.5127,12,0.1443,2
8.5702,11,-0.3892,2
8.6859,14,0.6489,2
8.6984,13,1.049,4
8.1837,10,-0.0609,1
8.0384,11,-0.1786,2
8.2379,13,-0.6456,2
7.9579,9,-0.3855,1
8.6115,15,0.4525,2
7.7053,10,-1.406,1
8.0841,11,-0.1316,1
8.0057,12,-0.7913,1
8.6346,14,0.1302,2
9.2806,17,1.704,3
8.9185,17,0.3231,4
8.3045,11,0.9011,2
8.1841,11,-0.1958,1
8.0759,11,-1.5535,1
8.6636,12,0.5031,3
7.8231,10,-1.2592,1
8.7516,16,0.9395,2
7.9352,9,-0.9165,1
8.0023,10,-1.1457,1
8.1562,13,-0.0613,1
7.867,9,-0.7632,1
8.4883,11,0.1023,1
8.5241,12,0.6637,2
9.1099,16,1.2762,3
8.0862,10,-0.3169,1
7.3814,9,-0.5258,1
7.7943,11,0.3726,1
8.1659,10,-0.8641,2
8.6317,13,0.1046,2
8.3476,12,-0.1023,1
8.4697,14,0.6741,3
9.4188,15,0.9406,3
7.8511,11,-0.7085,2
7.9898,11,-0.4975,1
8.1736,11,-0.2408,2
9.1484,15,1.9816,3
7.8914,11,-0.6727,1
9.0553,16,0.8699,2
8.3173,14,0.5064,2
9.0352,14,1.453,3
9.1899,15,1.5898,3
8.4487,11,0.2749,1
7.9371,12,-0.0855,2
8.9503,15,1.7461,3
8.1144,7,-1.075,1
8.6638,15,1.0503,2
8.177,9,-0.158,1
8.4562,16,0.9152,2
8.6698,13,-0.222,1
7.8206,10,-0.7616,2
9.2799,15,2.1257,3
7.6403,11,-0.7131,1
9.2971,15,1.8743,3
8.7183,12,-0.1329,2
8.7764,13,0.8416,1
8.9472,15,1.0406,3
8.4846,13,-0.1315,2
8.3297,13,0.4463,2
7.8943,10,-0.7441,1
8.8481,16,0.93,2
8.632,12,0.2332,2
7.9144,9,-0.8543,1
8.5624,13,-0.1977,2
8.9671,14,1.1405,2
7.8837,6,-2.4486,1
9.0408,14,0.9288,3
8.1871,9,-1.2767,1
8.3012,10,0.401,2
8.1253,10,-0.3123,1
8.8472,13,0.7277,4
8.6206,10,-0.1411,1
8.5568,15,0.4471,3
8.1679,10,0.124,3
7.9884,6,-1.3765,1
8.202,9,-0.6342,1
8.4709,11,0.516,1
8.3641,10,-1.0944,1
8.2096,9,-1.5809,1
8.7429,15,1.3962,3
8.9715,15,0.7161,2
8.8191,12,0.2077,2
8.9461,13,0.9327,3
8.7205,14,0.1633,2
8.1274,11,-0.5083,1
7.9227,9,-1.2867,1
8.3477,12,-0.4622,2
8.4553,14,-0.3719,2
8.1718,10,-0.344,1
8.6167,12,0.9621,2
8.8607,12,0.1473,1
8.2588,13,0.1374,2
8.3785,10,0.4857,1
8.2947,11,0.6415,2
8.874,14,0.8463,1
7.9319,13,0.1635,1
8.4011,12,0.3079,1
8.6621,15,1.2696,2
8.1992,12,-0.0777,2
9.0784,13,0.6461,2
8.792,13,-0.5092,2
9.0448,15,1.2378,3
8.0627,10,-0.6079,1
8.6545,16,1.7844,3
7.7972,8,-0.6226,1
8.0602,11,-1.0116,1
8.3736,14,1.3575,2
8.2581,12,0.3271,1
8.6541,16,1.2605,4
8.2942,11,0.1029,2
7.9155,8,-1.4971,1
9.0652,14,1.2005,3
8.3998,15,1.4249,2
8.6429,14,0.5604,3
8.5549,13,0.3872,2
7.9009,12,-0.7221,1
8.5504,11,-1.0897,2
8.1615,11,-0.8919,2
7.8266,9,-1.292,1
8.7967,16,0.8327,2
8.4083,14,0.233,2
8.6646,15,0.5001,3
7.967,13,-0.3341,3
8.1714,11,0.0375,1
8.7697,11,-0.5057,1
8.9007,16,1.8847,1
8.6301,14,-0.2813,2
8.0006,11,-0.8094,1
8.2772,12,0.9114,2
8.143,11,-0.4836,2
7.7694,9,-1.0141,1
8.0751,12,0.7289,1
8.3028,11,-0.8306,2
8.1598,12,0.6728,1
8.5849,13,0.4302,2
8.5727,11,0.4579,2
9.3092,17,1.7215,3
8.4201,9,0.3128,1
8.6349,14,0.9476,2
8.3701,12,0.014,1
8.8393,16,1.2951,2
8.6215,15,0.1835,2
8.0279,9,-1.069,1
8.3571,13,-1.5277,3
7.9713,12,-0.0822,2
8.7794,12,0.0808,2
8.8121,14,1.4084,1
7.7667,10,-0.4757,1
8.4746,14,0.213,1
7.8551,9,-0.6765,1
8.4508,16,2.1252,3
8.0539,10,-0.344,1
8.0648,13,-0.113,1
7.8014,8,-1.1771,1
8.9186,16,1.3523,2
7.8465,7,-1.1547,1
7.9519,10,0.0103,1
8.9682,14,0.177,2
8.3043,13,-0.1975,2
8.5142,12,0.0878,2
8.9088,13,1.0587,1
9.3527,17,1.3995,4
8.7441,15,1.0609,2
8.1024,12,0.7116,2
8.4085,16,1.4238,3
8.5503,12,0.0916,2
8.204,12,-0.4158,2
8.5935,14,1.199,2
7.9516,9,-1.1624,1
7.7027,7,-1.5551,1
8.9473,15,0.588,2
8.7238,15,1.8041,1
8.0987,12,-0.6845,1
8.6727,13,0.0421,2
8.0513,10,-1.258,1
8.4957,12,0.0277,2
8.4833,11,-0.8714,4
8.4999,13,0.7363,1
