state,year,treated,post,avg_schooling,avg_earnings
7,2014,1,1,12.1138,9.9356
8,1995,1,0,11.0571,9.2962
8,1996,1,0,11.1183,9.3363
8,1997,1,0,11.0113,9.3638
8,1998,1,0,10.9492,9.3798
8,1999,1,0,11.186,9.387
8,2000,1,0,11.1679,9.4545
8,2001,1,0,11.1652,9.4665
8,2002,1,0,11.1126,9.4571
8,2003,1,0,11.1473,9.4779
8,2004,1,0,11.3089,9.4949
8,2005,1,1,11.8026,9.5319
8,2006,1,1,11.8822,9.5394
8,2007,1,1,11.8474,9.5744
8,2008,1,1,11.6705,9.5965
8,2009,1,1,11.8016,9.6366
8,2010,1,1,11.8299,9.6419
8,2011,1,1,11.8465,9.7251
8,2012,1,1,12.0685,9.7061
8,2013,1,1,11.8491,9.7206
8,2014,1,1,12.0502,9.7219
9,1995,1,0,11.0722,9.4841
9,1996,1,0,11.2556,9.4557
9,1997,1,0,11.2573,9.4649
9,1998,1,0,11.3008,9.5603
9,1999,1,0,11.3343,9.5393
9,2000,1,0,11.3324,9.5259
9,2001,1,0,11.476,9.5924
9,2002,1,0,11.4795,9.5978
9,2003,1,0,11.5144,9.6031
9,2004,1,0,11.4665,9.6688
9,2005,1,1,12.0412,9.6546
9,2006,1,1,11.9755,9.6924
9,2007,1,1,12.2361,9.7635
9,2008,1,1,12.2096,9.758
9,2009,1,1,12.0101,9.7547
9,2010,1,1,12.178,9.7922
9,2011,1,1,12.2796,9.8143
9,2012,1,1,12.1854,9.8398
9,2013,1,1,12.1252,9.8502
9,2014,1,1,12.3405,9.8706
10,1995,1,0,11.6329,9.4692
10,1996,1,0,11.6747,9.4632
10,1997,1,0,11.8865,9.5056
10,1998,1,0,11.6337,9.516
10,1999,1,0,11.7237,9.467
10,2000,1,0,11.7228,9.5785
10,2001,1,0,11.9436,9.533
10,2002,1,0,11.7783,9.5621
10,2003,1,0,11.8021,9.579
10,2004,1,0,11.9823,9.5974
10,2005,1,1,12.4479,9.6885
10,2006,1,1,12.5105,9.7429
10,2007,1,1,12.4628,9.7164
10,2008,1,1,12.5273,9.7095
10,2009,1,1,12.6207,9.7459
10,2010,1,1,12.4741,9.7839
10,2011,1,1,12.5659,9.7809
10,2012,1,1,12.698,9.7854
10,2013,1,1,12.6706,9.8533
10,2014,1,1,12.6856,9.822
11,1995,0,0,11.1843,9.4942
11,1996,0,0,11.1283,9.5107
11,1997,0,0,11.0516,9.5054
11,1998,0,0,11.3322,9.5241
11,1999,0,0,11.2919,9.533
11,2000,0,0,11.2421,9.5623
11,2001,0,0,11.3102,9.5457
11,2002,0,0,11.3374,9.6395
11,2003,0,0,11.2601,9.6026
11,2004,0,0,11.4048,9.6464
11,2005,0,1,11.5333,9.7022
11,2006,0,1,11.3687,9.6925
11,2007,0,1,11.5225,9.7175
11,2008,0,1,11.5709,9.7102
11,2009,0,1,11.5098,9.7728
11,2010,0,1,11.5728,9.7811
11,2011,0,1,11.6392,9.7823
11,2012,0,1,11.5897,9.8509
11,2013,0,1,11.611,9.8539
11,2014,0,1,11.6477,9.8381
12,1995,0,0,11.2193,9.5834
12,1996,0,0,11.3918,9.603
12,1997,0,0,11.3604,9.5919
12,1998,0,0,11.3725,9.5728
12,1999,0,0,11.5422,9.6201
12,2000,0,0,11.5971,9.7112
12,2001,0,0,11.4109,9.683
12,2002,0,0,11.5705,9.7218
12,2003,0,0,11.6335,9.7615
12,2004,0,0,11.6387,9.7453
12,2005,0,1,11.7067,9.7589
12,2006,0,1,11.6728,9.7426
12,2007,0,1,11.5514,9.8217
12,2008,0,1,11.6256,9.8004
12,2009,0,1,11.6585,9.8976
12,2010,0,1,11.8222,9.873
12,2011,0,1,11.8526,9.9085
12,2012,0,1,12.0179,9.9236
12,2013,0,1,11.9675,9.9239
12,2014,0,1,11.9139,9.9384
13,1995,0,0,11.2507,9.4417
13,1996,0,0,11.2102,9.543
13,1997,0,0,11.1822,9.5153
13,1998,0,0,11.33,9.5697
13,1999,0,0,11.3743,9.5337
13,2000,0,0,11.4879,9.6181
13,2001,0,0,11.4779,9.5674
13,2002,0,0,11.4426,9.5935
13,2003,0,0,11.5448,9.6356
13,2004,0,0,11.6071,9.6465
13,2005,0,1,11.4996,9.7248
13,2006,0,1,11.6021,9.7123
13,2007,0,1,11.5721,9.7377
13,2008,0,1,11.6287,9.7941
13,2009,0,1,11.536,9.7356
13,2010,0,1,11.7314,9.7821
13,2011,0,1,11.6947,9.8023
13,2012,0,1,11.8006,9.8084
13,2013,0,1,11.7653,9.8212
13,2014,0,1,11.7179,9.8784
14,1995,0,0,11.6161,9.4665
14,1996,0,0,11.5705,9.4559
14,1997,0,0,11.686,9.5157
14,1998,0,0,11.6693,9.6037
14,1999,0,0,11.6474,9.5412
14,2000,0,0,11.7318,9.5453
14,2001,0,0,11.8505,9.6262
14,2002,0,0,11.7663,9.6153
14,2003,0,0,11.7701,9.6464
14,2004,0,0,11.8189,9.6187
14,2005,0,1,11.8374,9.7201
14,2006,0,1,11.7654,9.6994
14,2007,0,1,11.9374,9.7013
14,2008,0,1,11.9156,9.7504
14,2009,0,1,11.996,9.8007
14,2010,0,1,12.0375,9.7642
14,2011,0,1,12.0986,9.819
14,2012,0,1,12.0361,9.8594
14,2013,0,1,12.1478,9.9195
14,2014,0,1,12.2318,9.8559
15,1995,0,0,11.5382,9.3908
15,1996,0,0,11.5668,9.4297
15,1997,0,0,11.6127,9.4738
15,1998,0,0,11.6201,9.5072
15,1999,0,0,11.8086,9.4623
15,2000,0,0,11.6642,9.4543
15,2001,0,0,11.7311,9.4822
15,2002,0,0,11.7642,9.5452
15,2003,0,0,11.8119,9.5509
15,2004,0,0,11.7852,9.5781
15,2005,0,1,11.909,9.5748
15,2006,0,1,11.745,9.6314
15,2007,0,1,11.8636,9.6296
15,2008,0,1,12.0426,9.6443
15,2009,0,1,11.8841,9.7068
15,2010,0,1,12.1225,9.6512
15,2011,0,1,12.0074,9.6894
15,2012,0,1,12.071,9.7495
15,2013,0,1,12.1477,9.7717
15,2014,0,1,12.1196,9.78
16,1995,0,0,11.4948,9.5336
16,1996,0,0,11.5025,9.6496
16,1997,0,0,11.6143,9.57
16,1998,0,0,11.5836,9.6223
16,1999,0,0,11.6125,9.6564
16,2000,0,0,11.6432,9.6024
16,2001,0,0,11.679,9.6676
16,2002,0,0,11.8331,9.6715
16,2003,0,0,11.7698,9.6722
16,2004,0,0,11.7954,9.7495
16,2005,0,1,11.7782,9.7553
16,2006,0,1,11.9511,9.7789
16,2007,0,1,11.9458,9.7241
16,2008,0,1,11.822,9.8159
16,2009,0,1,11.8274,9.7847
16,2010,0,1,11.7962,9.799
16,2011,0,1,12.1066,9.8892
16,2012,0,1,11.9599,9.882
16,2013,0,1,11.9,9.8891
16,2014,0,1,12.119,9.9656
17,1995,0,0,11.593,9.5857
17,1996,0,0,11.6999,9.6162
17,1997,0,0,11.5997,9.6022
17,1998,0,0,11.5728,9.6222
17,1999,0,0,11.5226,9.6287
17,2000,0,0,11.6349,9.6836
17,2001,0,0,11.6212,9.698
17,2002,0,0,11.6426,9.7119
17,2003,0,0,11.6809,9.7084
17,2004,0,0,11.8754,9.7816
17,2005,0,1,11.8033,9.7715
17,2006,0,1,11.8335,9.7806
17,2007,0,1,11.9021,9.8199
17,2008,0,1,11.9757,9.8019
17,2009,0,1,11.8861,9.7988
17,2010,0,1,11.9291,9.8379
17,2011,0,1,12.0049,9.9324
17,2012,0,1,12.0243,9.9489
17,2013,0,1,12.1983,9.9681
17,2014,0,1,12.2159,9.9441
18,1995,0,0,11.494,9.4882
18,1996,0,0,11.5746,9.5061
18,1997,0,0,11.5853,9.5007
18,1998,0,0,11.5868,9.4845
18,1999,0,0,11.5376,9.5634
18,2000,0,0,11.6491,9.4512
18,2001,0,0,11.6854,9.5724
18,2002,0,0,11.6785,9.5857
18,2003,0,0,11.6632,9.6399
18,2004,0,0,11.6901,9.6551
18,2005,0,1,11.7699,9.6601
18,2006,0,1,11.8464,9.6926
18,2007,0,1,11.9368,9.6792
18,2008,0,1,11.8624,9.7126
18,2009,0,1,11.958,9.6691
18,2010,0,1,11.9655,9.7594
18,2011,0,1,11.9986,9.7957
18,2012,0,1,12.0548,9.7899
18,2013,0,1,12.1168,9.7876
18,2014,0,1,12.0503,9.8026
19,1995,0,0,11.2376,9.2964
19,1996,0,0,11.4089,9.3065
19,1997,0,0,11.4144,9.378
19,1998,0,0,11.2843,9.3433
19,1999,0,0,11.4265,9.4501
19,2000,0,0,11.5839,9.4478
19,2001,0,0,11.4523,9.4333
19,2002,0,0,11.459,9.4914
19,2003,0,0,11.6131,9.4675
19,2004,0,0,11.3874,9.5103
19,2005,0,1,11.7093,9.5407
19,2006,0,1,11.6545,9.5403
19,2007,0,1,11.7164,9.5233
19,2008,0,1,11.714,9.6324
19,2009,0,1,11.8351,9.6025
19,2010,0,1,11.8414,9.6131
19,2011,0,1,11.9643,9.7042
19,2012,0,1,11.8422,9.7064
19,2013,0,1,11.8275,9.693
19,2014,0,1,11.9093,9.7095
20,1995,0,0,11.8474,9.6529
20,1996,0,0,12.1013,9.6433
20,1997,0,0,11.9313,9.6264
20,1998,0,0,12.1834,9.6619
20,1999,0,0,11.9098,9.651
20,2000,0,0,12.0433,9.7175
20,2001,0,0,12.2058,9.7551
20,2002,0,0,12.2733,9.7301
20,2003,0,0,12.2004,9.8007
20,2004,0,0,12.1535,9.8066
20,2005,0,1,12.2902,9.7877
20,2006,0,1,12.2761,9.8611
20,2007,0,1,12.1892,9.8602
20,2008,0,1,12.5743,9.8393
20,2009,0,1,12.3514,9.885
20,2010,0,1,12.4894,9.9061
20,2011,0,1,12.3848,9.9883
20,2012,0,1,12.6141,9.9143
20,2013,0,1,12.53,9.9948
20,2014,0,1,12.6517,9.9897
