minscore,pass_exam,receivehsd,avgearnings,n,person_years,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4
-14.0,0,0.30225563,11717.597,665,2092.0,-14.0,-0.0,196.0,0.0,-2744.0,-0.0,38416.0,0.0
-13.0,0,0.28188777,11931.299,784,2443.0,-13.0,-0.0,169.0,0.0,-2197.0,-0.0,28561.0,0.0
-12.0,0,0.28349945,12174.198,903,2924.0,-12.0,-0.0,144.0,0.0,-1728.0,-0.0,20736.0,0.0
-11.0,0,0.29771784,11953.884,964,3058.0,-11.0,-0.0,121.0,0.0,-1331.0,-0.0,14641.0,0.0
-10.0,0,0.30483273,12705.653,1076,3505.0,-10.0,-0.0,100.0,0.0,-1000.0,-0.0,10000.0,0.0
-9.0,0,0.34561834,12060.475,1221,3986.0,-9.0,-0.0,81.0,0.0,-729.0,-0.0,6561.0,0.0
-8.0,0,0.34626648,12214.287,1366,4394.0,-8.0,-0.0,64.0,0.0,-512.0,-0.0,4096.0,0.0
-7.0,0,0.35818908,13038.381,1502,4931.0,-7.0,-0.0,49.0,0.0,-343.0,-0.0,2401.0,0.0
-6.0,0,0.37507418,12683.077,1685,5574.0,-6.0,-0.0,36.0,0.0,-216.0,-0.0,1296.0,0.0
-5.0,0,0.39025787,13179.544,1745,5706.0,-5.0,-0.0,25.0,0.0,-125.0,-0.0,625.0,0.0
-4.0,0,0.39937598,13083.809,1923,6530.0,-4.0,-0.0,16.0,0.0,-64.0,-0.0,256.0,0.0
-3.0,0,0.4405812,13143.415,1927,6438.0,-3.0,-0.0,9.0,0.0,-27.0,-0.0,81.0,0.0
-2.0,0,0.45413533,13983.55,1995,6869.0,-2.0,-0.0,4.0,0.0,-8.0,-0.0,16.0,0.0
-1.0,0,0.46518824,13732.518,1939,6667.0,-1.0,-0.0,1.0,0.0,-1.0,-0.0,1.0,0.0
0.0,1,0.916222,14063.868,1874,6458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.9062334,14257.279,1877,6548.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2.0,1,0.9275449,13829.307,1670,5850.0,0.0,2.0,0.0,4.0,0.0,8.0,0.0,16.0
3.0,1,0.9151671,14631.656,1556,5484.0,0.0,3.0,0.0,9.0,0.0,27.0,0.0,81.0
4.0,1,0.9280677,14847.078,1418,5219.0,0.0,4.0,0.0,16.0,0.0,64.0,0.0,256.0
5.0,1,0.9230159,14983.756,1260,4654.0,0.0,5.0,0.0,25.0,0.0,125.0,0.0,625.0
6.0,1,0.9325736,14936.146,1053,3874.0,0.0,6.0,0.0,36.0,0.0,216.0,0.0,1296.0
7.0,1,0.93134,15824.566,903,3392.0,0.0,7.0,0.0,49.0,0.0,343.0,0.0,2401.0
8.0,1,0.9410072,15175.247,695,2653.0,0.0,8.0,0.0,64.0,0.0,512.0,0.0,4096.0
9.0,1,0.9256637,15253.268,565,2220.0,0.0,9.0,0.0,81.0,0.0,729.0,0.0,6561.0
10.0,1,0.93432206,16395.117,472,1869.0,0.0,10.0,0.0,100.0,0.0,1000.0,0.0,10000.0
11.0,1,0.9222222,15541.161,360,1466.0,0.0,11.0,0.0,121.0,0.0,1331.0,0.0,14641.0
12.0,1,0.96564883,15487.525,262,1052.0,0.0,12.0,0.0,144.0,0.0,1728.0,0.0,20736.0
13.0,1,0.9673913,17235.902,184,761.0,0.0,13.0,0.0,169.0,0.0,2197.0,0.0,28561.0
14.0,1,0.9357798,16985.027,109,474.0,0.0,14.0,0.0,196.0,0.0,2744.0,0.0,38416.0
15.0,1,0.87323946,17854.611,71,308.0,0.0,15.0,0.0,225.0,0.0,3375.0,0.0,50625.0
