earnings,schooling,ability,scholarship
9.2363,14,1.5636,1
8.2909,10,-0.9044,0
8.9686,15,-1.0843,1
8.8618,11,-0.569,0
9.6163,15,2.0286,0
8.7311,13,-0.0475,1
9.595,17,2.537,1
9.0108,14,-1.0158,1
9.5314,18,1.2579,1
9.2206,14,1.6871,0
8.2016,8,-1.5432,0
9.4359,14,0.57,0
8.9365,12,0.5573,0
9.1224,12,-0.1308,1
9.0554,14,1.2102,1
8.7773,13,-0.0847,0
8.8917,13,0.2067,0
9.5887,16,0.7212,1
9.4651,14,0.6886,1
9.182,13,0.4232,0
9.2506,14,1.3721,0
8.6476,10,-2.0402,1
8.9278,13,1.0852,0
8.981,14,1.4859,1
9.7325,18,1.9612,1
9.4597,13,0.4256,1
8.9037,12,-0.4122,0
8.5075,11,-1.3835,1
9.0571,13,0.1612,1
8.7893,13,-0.1167,0
9.1355,13,-0.5168,1
9.0592,11,-1.5468,0
9.1812,13,-1.2378,1
8.9788,11,-0.4179,0
8.8516,13,-0.0492,0
9.0433,11,0.5674,0
9.1515,16,0.9118,1
9.1985,15,-0.0704,1
8.9247,14,-0.3424,1
8.8551,12,-0.2665,0
9.0602,13,-0.5386,0
8.9828,14,-0.3085,1
9.574,17,0.9239,1
9.0115,12,-0.5771,1
8.9886,15,0.3356,1
9.4127,14,0.4834,1
9.0377,13,0.2215,0
8.6982,14,-0.6038,1
8.6734,11,-1.0723,0
9.1617,13,0.1414,0
8.6536,13,-0.3697,1
9.3279,15,1.5001,0
8.5704,10,-0.3721,0
9.1517,14,0.0187,1
8.9705,10,-0.7111,0
8.7469,9,0.1397,0
8.6802,11,-0.655,0
9.4544,15,1.3871,1
8.6964,10,-1.5424,0
9.1388,13,0.5601,1
8.8908,9,-1.7824,0
8.4817,9,-0.8753,0
9.6366,16,1.2854,0
8.8415,10,-1.9838,0
9.2329,14,-0.2339,1
8.8609,11,-0.445,1
8.9952,15,0.0838,1
8.8457,14,-0.0844,1
9.2746,14,0.3789,1
9.0735,11,-0.7036,0
8.91,14,-0.6098,1
8.8181,12,0.5365,1
9.1733,15,-0.2669,1
8.8149,10,-1.0088,0
8.7647,11,-0.3917,0
8.6666,12,-1.1174,1
8.9317,12,-1.0755,1
8.6042,11,-0.0838,0
9.1094,14,-0.1893,0
8.4394,10,-2.2267,1
8.5847,13,-1.3478,1
8.5708,12,-0.8011,1
9.2133,12,0.27,0
8.8829,14,-0.1727,1
8.8892,15,-0.1109,1
9.2394,15,0.1305,1
9.2553,14,0.9499,0
9.4673,14,0.9476,0
9.2499,15,1.9153,0
9.5746,14,0.3957,1
9.2528,16,-0.0582,1
9.1572,13,0.8881,0
8.4391,10,-0.7974,0
9.0171,12,-0.4424,1
9.1852,13,-0.0114,1
9.4716,17,0.5173,1
9.8973,19,2.4433,1
9.0968,14,0.753,0
9.391,15,0.6356,1
8.9384,10,0.1719,0
9.2364,14,0.1112,1
8.9818,14,1.4833,0
8.5036,10,-1.7093,0
9.036,15,0.3109,1
9.2918,14,0.0561,1
8.4668,9,-1.3878,0
9.7316,16,0.7464,1
8.6797,10,-0.8882,1
9.3397,16,1.0217,1
8.9264,12,0.0482,0
9.1908,13,-0.7088,1
9.5276,18,1.1232,1
9.4255,16,1.2662,1
9.5588,15,0.4137,1
9.1434,14,0.4211,0
8.6918,12,-1.6266,1
9.169,14,1.0042,0
9.6229,18,0.8655,1
9.5612,16,2.0082,0
9.0565,12,-0.1845,1
9.093,15,0.556,1
9.3171,14,0.1388,1
9.1699,11,0.5225,0
9.2876,15,1.3393,1
9.2703,15,-0.4649,1
9.0797,15,0.7604,0
8.869,11,-1.1139,1
8.7407,12,-0.5742,1
9.342,14,0.7614,1
8.4086,8,-1.7602,0
9.1114,13,-0.0308,1
9.4069,14,0.3616,0
9.2687,14,1.6645,0
9.6838,17,1.6665,1
9.2496,14,-0.253,1
8.5388,11,-0.9697,0
8.8205,14,-1.2806,1
8.8739,12,0.1546,0
9.2133,14,0.4486,1
8.8208,11,-0.5752,0
8.6301,11,-0.0719,0
9.1648,13,-0.2081,0
9.0955,12,0.5741,0
8.3454,8,-1.7956,0
8.6775,13,-0.7739,1
9.1551,13,-0.3325,1
9.2098,14,1.7816,0
9.133,14,0.5248,0
8.9171,10,-0.6482,0
8.7362,11,-0.8188,0
9.2534,16,1.2861,1
9.0577,14,0.0563,1
9.3682,14,1.2419,1
8.6476,10,-1.2568,1
8.8807,12,-0.7965,1
8.9252,16,0.7491,1
9.6023,16,2.1543,0
9.2956,14,0.163,1
8.9926,13,0.3321,0
8.5988,11,-0.4521,1
9.6859,15,1.2016,1
8.8463,14,-1.2492,1
9.5301,14,0.0078,1
8.8478,12,-0.2718,0
8.8077,11,-1.451,1
8.9152,14,0.5173,1
9.0275,13,-0.4054,1
8.9694,14,-0.2316,1
8.6216,9,-0.4337,0
9.2583,14,0.0306,1
9.0345,14,-0.7657,1
8.8255,9,-1.1745,0
9.3242,13,-0.0117,1
9.4881,16,1.0407,1
8.8299,13,-0.6038,1
8.8972,12,-0.9533,0
8.7758,11,-1.4121,0
8.4843,11,-0.1605,0
9.1865,17,1.7681,1
9.4793,15,1.7764,0
9.5477,15,0.611,1
9.1769,13,-1.2225,1
9.3002,14,2.0434,0
9.57,16,1.4188,1
8.908,12,-0.5461,0
9.4588,16,0.9295,1
8.583,12,-0.0579,0
9.0847,11,-1.3139,0
9.4845,13,-0.0906,1
9.289,12,0.6179,0
9.1268,14,-1.1093,1
8.8527,11,-0.5592,0
8.7617,11,-1.0362,0
8.2348,9,-1.5068,0
9.4181,15,1.1069,1
9.1099,11,0.0332,0
9.1203,14,-0.3575,1
9.3297,13,2.2128,0
9.0885,13,0.5553,0
9.4163,16,1.064,1
9.0355,12,-0.3042,0
8.7098,12,-0.9449,1
9.1684,14,1.6204,0
9.1051,11,-0.2864,0
8.8737,11,-0.2035,1
8.7257,13,-1.6591,1
8.803,11,-0.0053,0
9.7862,18,1.5844,1
9.6425,16,0.1544,1
9.7273,14,1.1664,1
8.708,12,0.045,0
8.8148,13,0.4046,0
8.6895,13,0.0644,0
9.1073,15,-0.0102,1
9.3974,14,-0.9357,1
8.9204,13,-0.979,1
8.7828,13,-0.4188,1
8.9115,14,0.532,0
9.534,15,0.7521,1
8.9274,11,-0.4731,0
8.96,12,0.9512,0
8.8902,10,-0.1091,0
9.5468,16,0.645,1
8.8318,9,-0.6774,0
8.9801,10,-0.5093,0
8.429,9,-0.8914,0
9.0875,13,-0.662,0
8.7388,12,-0.2384,0
8.6746,13,-0.6153,1
8.9038,14,-0.1647,1
8.4153,10,-1.8829,0
9.2604,15,-1.2247,1
9.506,14,0.6834,0
8.8507,13,-0.3165,0
9.2533,14,0.2903,1
8.5944,11,-2.0317,1
8.9102,12,0.3968,0
8.6078,10,-0.5144,0
8.7308,11,-0.7425,0
8.7401,11,-0.7066,0
9.4292,14,1.0755,1
9.2155,13,-0.311,1
8.7845,11,-1.4599,0
9.2054,13,0.165,1
8.722,10,-0.913,0
8.658,11,-0.8394,0
9.3607,14,0.2294,0
9.2558,13,0.2795,0
9.0238,13,0.3345,1
9.2853,16,0.0568,1
9.0519,14,-0.7033,1
8.9489,16,0.3451,1
8.4145,10,-0.3911,0
8.9972,14,-0.3149,1
8.8169,11,-0.9639,1
9.1883,16,0.5268,1
9.1926,14,0.2961,1
9.1521,13,-0.6113,0
8.5968,11,-0.2549,0
9.2659,14,0.1102,1
9.3917,15,0.6052,0
9.2264,15,0.4057,1
9.074,14,0.7811,0
8.9507,13,-0.3565,1
9.5355,13,0.0895,0
9.0196,12,-0.0829,0
9.4309,15,0.4607,0
9.1106,11,0.4486,0
8.9488,12,-0.7854,1
9.0601,14,-0.3284,1
8.8806,11,-1.7902,1
9.2329,13,0.7715,0
9.1047,13,-0.9546,1
9.1426,17,1.2838,1
9.2603,15,2.1466,0
8.8595,13,0.5456,0
8.3396,9,-1.1573,0
9.2625,14,0.6308,1
9.1253,15,0.2915,1
9.6451,16,1.3283,1
9.3577,16,1.763,1
9.4019,17,1.4523,1
9.0865,13,1.082,0
9.296,13,0.5161,0
8.9771,12,0.2662,1
8.5752,12,-0.6945,0
8.9419,13,-0.279,1
9.4041,16,0.8734,1
9.2385,17,0.1326,1
8.8085,11,-0.7557,0
9.2855,12,0.7147,0
9.0741,13,-1.1531,1
9.3369,12,1.0498,0
9.3203,15,-0.7338,1
8.9884,13,0.4058,0
9.0094,13,0.2861,0
8.7728,11,-0.3256,0
8.9445,14,-0.1873,1
9.2242,13,0.4178,0
8.986,14,-0.0342,1
9.0312,13,0.3691,1
8.8548,12,0.3588,0
9.5096,16,0.5844,1
9.2944,14,0.9725,1
8.9902,14,0.2743,1
9.2721,14,1.1739,0
9.178,13,0.1624,1
8.8064,11,-0.7289,0
8.8174,12,-0.1106,0
8.3474,10,-1.7739,0
9.012,16,0.2624,1
9.1379,15,1.6129,0
8.9629,13,0.0946,1
8.8513,11,-1.139,0
8.9676,14,-0.6713,1
8.9011,12,0.3964,0
8.8718,13,-1.5489,1
8.9004,13,-0.1996,0
9.2366,16,-0.718,1
8.9828,14,0.2192,0
9.209,14,1.7697,0
9.6549,16,1.0621,1
8.8467,11,-0.2257,0
9.0304,14,0.3461,1
9.2017,12,-1.1116,1
9.6854,17,1.86,1
9.0391,14,0.1478,1
9.0992,14,1.3305,0
9.2193,14,0.8128,0
8.8584,11,-1.6681,1
8.8095,12,-0.9609,0
9.5929,17,1.9979,0
9.1056,14,0.69,1
8.8547,13,-0.5492,1
8.6773,12,-0.0109,1
9.5192,15,2.2066,0
8.9353,13,0.3128,1
8.941,13,0.523,0
9.3578,13,-0.6482,1
8.8148,15,0.3952,1
9.4851,15,0.9983,1
9.064,12,0.1579,0
9.28,15,1.1,1
9.5744,17,1.2395,1
9.4747,15,1.1779,1
8.6071,9,-0.4193,0
8.7581,12,-0.0187,0
8.6692,10,-1.1237,0
9.1218,15,0.8571,1
8.7879,13,-0.074,0
9.2202,14,0.646,1
9.3166,14,0.6466,1
8.2016,8,-3.1046,0
9.6279,17,0.5298,1
8.4046,9,-0.8744,0
9.3773,15,0.9615,1
9.5365,14,1.2072,1
9.118,11,-0.4518,0
9.5041,16,0.9379,1
8.8854,13,-0.1238,0
9.313,13,-0.6565,1
8.9429,13,0.7433,0
9.0556,15,0.4954,1
8.4984,10,-1.6304,0
9.053,13,0.5434,0
8.4894,11,-1.7973,1
8.2943,11,-1.936,1
9.2486,15,2.257,0
8.8044,15,-0.8355,0
9.5892,16,0.755,1
9.6242,16,1.5093,1
9.7137,16,1.1728,1
9.1467,13,-0.3411,0
9.026,16,1.3782,1
8.7621,13,-0.4868,0
8.378,9,-2.3259,0
9.0349,12,0.5298,0
8.9272,13,0.744,0
8.9657,14,1.0116,0
8.5147,12,-1.6186,0
8.8943,12,-0.0752,0
8.9973,12,-1.6766,1
8.8731,12,-1.1206,1
8.7563,12,-0.0512,0
8.6227,11,-1.9932,0
8.7556,12,-1.3498,1
8.8454,15,0.0873,1
9.5307,18,1.163,1
9.3502,15,1.336,0
8.7448,14,-1.0908,1
9.304,11,0.5628,0
8.9343,13,-0.0714,1
8.5215,10,-2.0023,0
9.0,14,0.9411,1
8.8383,12,0.9054,0
8.4069,10,-1.3662,1
9.1087,12,1.0402,0
9.1523,14,-0.1805,0
9.2723,14,0.3597,0
9.2529,12,-0.6757,1
8.8371,12,-1.3951,1
8.7664,11,0.6253,0
8.855,12,-1.2361,1
9.1946,13,-1.2539,1
9.4885,18,1.3068,1
9.0936,13,0.9212,0
9.5595,13,-0.17,0
9.4111,15,1.4303,0
9.331,15,0.1942,1
9.0268,15,-1.1257,1
9.2409,15,-0.1078,1
9.0845,16,0.8766,1
8.7968,12,0.4595,0
9.5103,15,1.165,1
9.3331,13,0.5623,0
8.8976,13,0.7178,1
8.7975,11,-0.2623,0
9.5608,16,3.1747,0
8.7303,12,-0.3525,0
8.9275,10,-0.4567,0
8.7343,12,-1.3801,1
8.6723,9,-1.0148,0
9.3727,13,0.5288,0
8.6965,12,-0.4808,1
9.9816,19,3.7571,1
9.3078,16,0.7865,1
8.653,12,-0.8744,0
8.4731,10,-1.027,0
9.2892,16,1.0346,1
9.648,14,0.4597,1
9.2797,15,1.1402,1
8.5774,13,-1.1416,1
9.2507,16,0.8738,1
8.5302,11,-1.4834,0
8.5393,10,-1.8896,1
8.6418,8,-1.8591,0
9.1288,12,1.2408,0
9.1176,13,0.0416,1
9.2308,11,0.4048,0
8.1133,10,-2.4891,1
9.4048,14,0.2714,0
9.4573,16,1.2142,1
9.0866,14,0.0466,0
9.3513,16,1.1925,0
9.1257,13,-0.5889,0
8.8416,13,-0.8603,0
9.6301,15,1.9661,0
8.9943,13,-0.4966,1
8.7248,12,-0.9611,1
9.2542,14,-0.1211,1
9.2464,15,0.8435,0
9.1277,15,0.375,1
8.45,13,-1.4031,1
9.3453,15,0.2466,1
9.3674,12,0.037,0
8.8112,10,-0.9859,0
8.6652,11,-0.1272,0
9.0714,12,0.862,0
9.1115,12,-0.6862,0
9.3699,14,1.504,0
9.1946,10,-0.0839,1
8.9434,14,-0.0121,1
8.7824,14,-0.3069,1
9.6807,15,1.0219,1
8.9739,15,0.5325,1
8.5539,10,-1.8722,1
9.254,15,-0.1743,1
8.8032,11,-0.9246,1
8.6927,12,-0.9093,0
8.9788,14,0.7151,1
9.162,15,0.4531,1
9.5161,14,1.3065,0
8.7347,14,-0.267,1
8.4745,11,-1.1826,0
9.1816,15,0.9073,1
9.7753,16,1.6808,1
9.104,14,-0.3567,1
9.0636,15,0.5842,1
8.4878,8,-2.1594,1
9.0901,13,-0.4483,1
8.7779,11,-0.7877,0
9.5787,15,1.6697,0
9.0757,13,-1.072,1
8.8171,11,-0.8762,0
9.5177,15,0.7192,1
9.5667,17,1.0697,1
8.3949,10,-0.9744,0
8.9222,10,-0.8779,0
8.9188,12,-0.5109,1
8.869,10,-0.7746,0
8.9255,11,0.6179,0
8.9881,11,0.6653,0
9.2367,12,1.1501,0
8.9171,13,-0.666,1
8.9576,10,-0.1201,0
9.4502,13,0.7792,0
8.8553,13,-0.6293,1
8.8821,12,-0.0913,1
8.8172,10,-0.058,0
8.9757,14,0.154,1
9.6211,17,1.3486,1
9.2421,13,-0.3219,0
9.5154,14,1.2307,0
9.6921,16,2.1585,1
8.6205,10,-0.999,0
8.8334,8,-1.7251,0
8.9244,11,-0.7463,0
9.9717,15,1.757,0
9.4671,15,1.4235,1
8.9388,8,-0.605,0
8.7781,11,-0.3517,0
9.2502,16,0.4176,1
8.7431,11,-0.9791,0
9.4451,13,-0.228,1
9.0527,14,0.4932,1
9.0676,14,-0.0865,1
9.0505,12,-0.1172,1
8.8488,11,-0.2351,0
8.9975,12,-0.7971,0
8.9857,14,-0.6364,1
8.7883,12,-1.0904,1
9.3727,15,0.0158,1
9.302,13,0.1875,1
9.492,17,0.6381,1
9.1594,15,0.5698,0
9.2022,14,0.2264,1
9.4318,15,0.9012,0
8.7833,11,-1.1822,1
9.0111,12,0.0215,0
9.232,15,0.6352,1
9.0375,14,0.0498,1
9.0941,15,-0.003,0
8.8621,13,-0.2653,0
8.6695,12,-0.4978,1
9.5727,17,1.1734,1
9.3003,17,0.7285,1
8.7572,11,-0.7315,0
9.0217,11,0.1905,0
8.6094,11,0.0969,0
9.4928,18,1.4219,1
8.5428,9,-1.6355,0
9.2216,11,-0.1172,1
9.115,13,0.721,1
9.3246,13,1.0773,0
9.2934,15,1.8618,0
9.1997,14,-0.7022,1
9.0317,14,-0.7377,1
9.9046,19,2.1573,1
9.3373,13,1.3887,0
9.0708,13,-0.5296,1
9.5748,15,1.095,0
8.2564,11,-1.3668,1
9.238,13,0.4041,0
8.9935,14,-0.6251,1
9.2682,12,0.8388,0
8.7778,11,-1.6385,1
8.9563,13,-1.6008,1
8.904,10,-0.198,0
8.9843,14,-0.1675,1
9.509,16,0.7305,0
8.9518,11,0.4251,0
8.9583,11,-0.6307,0
8.8889,12,-0.0795,0
9.5768,14,0.4678,0
8.9553,13,-0.1401,1
9.2148,13,-0.4053,1
8.7121,14,-1.4781,1
9.0003,14,-0.2219,0
9.1916,12,-0.1232,1
8.7803,11,-1.1111,0
8.6208,13,-0.1588,0
9.5542,17,0.5291,1
8.9594,15,0.8825,1
8.0758,6,-2.3637,0
9.0858,13,0.5279,0
8.6494,11,-0.4225,0
8.6896,11,-1.7869,1
9.4492,15,1.2826,1
8.7019,10,-1.388,0
9.3315,14,-0.5017,0
8.9091,12,-1.5024,1
9.1794,15,0.0964,1
9.2481,12,0.5602,0
9.1709,17,1.6951,1
9.0769,13,-0.2936,0
8.9222,10,-0.3427,0
8.7426,11,-1.493,0
9.3096,17,0.6221,1
8.8842,14,0.0612,1
9.0171,15,-0.7163,1
8.6661,11,-0.5901,1
8.9164,13,-0.2541,1
8.6829,11,-0.7605,0
8.7362,10,-1.2843,0
8.8615,14,-1.2875,1
8.9972,14,1.0778,0
9.0762,13,-0.6015,1
9.0228,11,-0.2712,0
9.1926,13,-0.0507,1
9.1599,13,1.2594,1
9.007,11,-0.0022,0
9.2879,14,0.7637,0
9.385,17,1.4555,1
8.7548,14,-0.2568,1
9.1131,15,0.2559,1
8.9596,12,-0.4865,0
9.1331,15,-0.1225,1
9.1907,10,1.2068,0
9.2132,15,0.0941,1
8.8594,14,-0.4751,1
8.9399,15,0.1227,1
8.7318,10,-1.2057,0
8.5692,11,-0.9417,0
8.9847,15,-0.2648,1
9.5345,14,0.6133,0
9.46,17,1.3069,1
8.8322,11,-0.5222,0
8.6701,13,-0.2997,1
9.0617,13,1.3216,0
9.1697,13,1.024,0
9.131,15,0.8096,1
9.0954,13,0.1359,0
9.7308,17,2.035,1
8.765,8,-0.9696,0
8.6466,11,-2.395,0
8.8422,10,-1.1845,0
9.1102,11,0.1841,0
9.2454,11,-0.0085,0
8.6448,12,-1.1204,1
9.0737,12,0.6607,0
9.1805,15,0.6502,1
9.7067,15,1.041,0
9.0428,11,-0.134,0
8.7332,10,-1.4251,0
8.4581,10,-1.6724,0
8.745,12,-1.9618,1
9.2742,16,0.5935,1
8.9459,12,-1.0016,0
9.0802,12,0.5503,0
8.5775,11,-2.0281,1
9.3802,13,0.2108,0
9.3597,15,1.2104,1
9.591,17,1.676,1
9.307,12,0.0304,0
9.0785,12,-0.6765,1
8.6759,13,-1.3804,1
9.007,13,0.0114,1
8.6936,12,-0.4137,1
8.4361,11,0.2235,0
8.8455,12,0.06,0
9.2677,14,1.3313,0
8.828,11,0.0218,0
8.9722,13,0.4399,1
8.0549,10,-1.4204,0
8.4892,9,-1.9516,0
9.2872,16,0.639,1
8.8819,13,-0.5656,1
8.5211,11,0.5994,0
9.4213,15,-0.4873,1
8.9411,11,-2.0164,0
9.1822,15,-0.3813,1
8.7609,14,-0.6773,1
9.4207,15,0.1663,1
9.0982,13,0.7339,0
9.51,15,1.9308,0
9.4441,15,1.1048,1
9.0486,13,0.1147,1
9.0303,14,0.6531,1
8.6656,11,-0.7455,0
9.325,15,0.9347,1
8.9506,12,-0.9279,1
9.2329,15,0.8538,0
8.9119,15,0.6983,1
9.1217,14,0.2312,1
9.0456,12,-0.0466,0
9.0917,13,0.1867,0
9.9667,16,1.3969,1
8.971,14,0.9485,0
8.497,10,-1.3378,0
9.6013,15,1.2341,0
8.6383,12,-0.5141,0
9.0757,13,0.4058,0
9.5119,15,1.8457,0
9.034,15,-0.2057,1
8.9509,14,0.9078,0
8.9282,13,-0.415,1
9.5808,14,-0.2274,1
8.9778,12,0.7635,0
9.2475,15,1.4073,1
8.6296,12,-0.769,0
9.3849,15,1.0541,0
9.2448,15,0.5514,1
9.3474,13,0.9921,0
8.9554,14,-0.4534,1
9.4142,15,1.4531,0
8.4062,11,-1.3377,0
9.0759,13,-1.1604,1
8.8308,11,-0.5002,0
8.6407,9,-0.8489,0
8.8629,12,-0.0524,1
9.2703,13,-0.0153,0
9.0601,13,-0.9434,1
9.1088,11,-0.568,0
8.6415,11,-1.6806,0
8.5614,12,-0.5956,1
8.3872,9,-1.2889,0
9.0739,14,0.4839,0
8.5079,10,-0.2014,0
8.9977,14,-0.2258,1
8.3201,9,-1.7646,0
9.8642,19,2.4524,1
8.8001,10,0.1409,0
9.1725,13,0.7638,0
9.4792,16,0.9756,1
9.3204,14,1.8534,1
8.8605,12,-1.0006,1
9.1695,13,0.5474,1
8.9804,10,-0.2229,0
9.3471,11,-0.1712,0
9.3088,16,1.1351,0
9.2777,16,0.0564,1
8.9226,15,-0.0777,1
9.3814,15,1.1946,0
9.2215,14,-0.0257,1
8.7373,12,-1.3174,1
8.6904,10,-0.64,0
8.8885,9,-1.108,0
9.1395,15,0.9778,0
9.7948,14,0.6676,0
8.8696,10,-2.6751,0
9.2589,15,1.0701,0
8.8086,12,-0.2986,1
8.9326,12,0.4582,0
9.5179,16,0.754,1
8.9007,13,-0.4177,0
9.6007,14,1.3097,0
9.2845,13,1.4242,0
8.3805,8,-1.1948,0
8.7983,12,0.7592,1
8.8549,11,0.5379,0
8.9616,15,0.5424,1
9.0125,11,-0.1351,0
8.9959,13,1.1889,0
9.0183,13,0.2747,0
9.0229,13,-0.359,1
9.2862,16,1.7949,1
